reviewID,employerID,userID,gender,birthYear,highestEducation,metroID,metroName,stateID,stateName,countryID,jobTitleID,JobTitle,GOC,GOCconfidence,MGOC,MGOCconfidence,reviewDateTime,isCurrentJobFlag,jobEndingYear,OverallRating,CareerOpps,CompensationBenefits,SeniorLeadership,Worklife,CultureValues,RecommendFriend,BusinessOutlook,CEO,employerName,stockTicker,employerTypeCode,numberEmployees,annualRevenue,industry,sector,pros,cons,feedback
4151950,11891,24353329,FEMALE,1984.0,BACHELORS,0,,0,,1,0,,,,,,2014-04-30 23:52:26.027,1,,4.0,3.0,5.0,3.0,2.0,3.0,YES,Same,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,You will be working with the most talented ppl around.,Little bit politics in some teams.,
1863,11891,-1,,,,761,San Jose,2280,CA,1,35739,"Director, Product Management",product manager,0.912999987602234,product manager,0.912999987602234,2008-04-23 23:42:17.157,1,,5.0,4.0,4.5,5.0,4.5,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"Freedom and responsibility. You're treated like an adult. You're part of a pro team that is highly functioning. The company is well respected and has a super positive brand awareness -- i'm never able to go anywhere without getting peppered with raves and happy customer comments, and i love wearing company logo gear when i'm out for this reason.

You matter at Netflix. There is no dead wood, everyone is doing something very important to the company or they wouldn't be there. What you are doing matters and makes a difference, and that feels good. You can really make a difference no matter what your role.

The company often repeats that as an employee, you're not on an olympic team -- meaning, you don't do this 24/7 with no life, with all focus on the gold. WE're more of a varsity team, playing to win, very good, but still have to balance with classes and learning. We need to have a good work/life balance and its very important to the company that we do. 

I think the best thing - and its subtle - is this no vacation/no holiday stuff. you work when you work. they seem to realize that everyone is working hard and all the time. nights. weekends often. a ton of hard work. so if you want to take time off for a vacation, a long holiday, a day off, whatever- it happens at your own discretion. you don't ask, you don't get permission. you just do what you have to do. no one is keeping track. i've never heard of this kind of policy and you cannot imagine what it doest for your morale, for feeling like you're being treated like a grown up. For that rule alone I think it stands beyond any other org.","Netflix is not for everyone. You don't get ""direction"" so much as everyone shares a common understanding of company strategy and goals. You are free to work, and some will find this harder than just being told what to do. Netflix doesn't have ""average"" workers - everyone is high functioning, highly motivated and independent, and expectations are enormous. There is nothing like a career position here. There is high turn over, and its unnerving to many. There is an understanding: ""good average work and productivity does not get a modest raise, but a generous severence."" 

It's a pro team, and the team fit is also as important as the individual performance. You could be excellent, but if you're not HIGHLY communicative, cooperative, egoless, you can get cut just in the team balancing of moving quickly and effectively. 

you must be able and willing to share early and often about everything. projects that are new and forming get debated and you have to defend your position and hear critique well. recognizing that criticism is of the work and not you is essential -- a thin skin won't work well. quiet hard work doesn't work well (for some engineers perhaps); you don't ask permission, but you must be able to clearly articulate why you do what you are doing, and support this position. you must realize that ideas are not fragile, and only through debate with smart people who share your understanding of company goals and strategy will ideas be improved.

This is serious work. It's really fun, but make no mistake, it's hard and not for everyone.","I have none. Senior management is fantastic. smart. focused. they lead by example and guide through real socratic debate with everyone. no one is unapproachable. everyone is candid. i couldn't ask for a better team of officers, and VPs, within the company."
4991,11891,2076,,,,761,San Jose,2280,CA,1,13321,Marketing Manager,marketing manager,1.0,marketing manager,1.0,2008-06-11 00:03:28.907,1,,5.0,5.0,5.0,5.0,4.5,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,Great colleagues -- incredible really,Domestic not global business -- wish we did europe and asia too,"Focus on the customer, not on Apple"
53799,11891,68043,,,,700,Portland,3163,OR,1,64668,Support Staff,support staff,1.0,retail representative,1.0,2008-08-07 23:30:14.267,0,2008.0,2.0,1.0,4.5,4.0,5.0,,NO,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"The upper management of Netflix really does seem to want to take a different approach with how they handle their employees, and accepts the fact that as an adult, you're able to get your job done. They appear to be very with it.  The call center attempts to echo that sentiment, and provides many perks that make work an alright place to be.  From the free coffee and refreshments in the cafeteria to the free rental plan, great benefits, and competitive pay, there is a great ideal that the company attempts to live up to - that the people populating the center are worth the extra buck or two.  It was refreshing to work for a company that was capable of identifying problems, and instead of sweeping them under the rug, took the initiative to change the problem.","Specific to the Hillsboro location, the middle-management is hit-or-miss with whether or not they treat you like a valued member of the team.  Many of the team managers do not communicate clearly with their teams - as a member of the support staff, it was evident which managers were taking the time to coach, train, and encourage their teammates, and which were not.  Many reps who were extremely good at their job were let go for seemingly innocuous reasons, veiling the manager's personal dislike for the individual.  The Hillsboro center has been open since September of 2006, and very few (if any) original cast members from the first three training classes exist.  The management of the call center was not in any way stable; the entire team had been replaced once over, and in the less-than two years, they've gone through two site directors.  With all of the management, quality, and training staff adjustments, many representatives felt as though getting promoted was a death knell to your time at Netflix.  NOT that there were copious opportunities for advancement - quite the contrary.  Team managers were hired from outside of the company, and rarely were promotions from within occurring.  There were a handful of people who did move up the ladder, and, as previously mentioned, found themselves restructured out of the company, told that there was no longer work for them to do and laid off, or outright fired because they ""don't fit the way the department is going.""","To the senior-most management in Los Gatos, I would ask that you send some sort of internal affairs mole into the call center.  Hire someone to see what it's like from the floor's perspective, as naturally the team managers are putting on their best face for you.  See what their day-to-day face looks like, and see how it compares.  Because you very well might see that some of the individuals in places of authority don't seem to know, in the colloquial, their arse from a hole in the ground."
53937,11891,68207,,,,0,,0,,1,36451,Does IT Matter?,,0.0,,0.0,2008-08-08 09:12:42.493,0,2008.0,2.0,2.0,2.5,3.5,1.0,,NO,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"The people there are fantastic, the service is great, the facilities are terrific as well as comfortable.  Some of the perks were worth it (free Netflix!).  The training team is great, the support staff are incredible, all very hard working people, the representatives on the floor are, without a doubt, the best in the industry. And who doesn't want to work ""in the movies""?  The pay is pretty decent, the benefits are acceptable.","It's frustrating to work for direct management who treat you like you're an inconvenience but yet you still provide them with reason to boast about top-rated customer service.  Lack of communication.  And unless you want to be management, lack of challenge and opportunities for growth.  ""Job security"" doesn't really exist for anyone in the Oregon office.  Innovation is encouraged yet support for implementing innovation is negligent at best.","Stop being so secretive, just be upfront and honest!  Learn to communicate, take the suggestions given seriously instead of treating everyone like they have no idea what they're talking about.  Trust the people you hired to act in the best interest of Netflix as you trust those people every day to explain and defend your decisions."
54737,11891,69202,,,,700,Portland,3163,OR,1,56188,Call Center Support Staff,support staff,0.9110000133514404,retail representative,0.9110000133514404,2008-08-10 11:06:25.867,1,,4.0,4.5,4.5,4.0,5.0,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"Benefits are terrific and I have my perfect shift.  Free movies are always wonderful.  This is the perfect job for me because it really is low stress and it is a perfect avenue for my love of film, film history and general film knowledge.",Lack of communication and inconsistency of management team.  Career opportunities are improving but not quickly enough.  Performance reviews have been a long time coming and still are not in place with compensation increases.,"Tighten things up, get consistent, replace some of the team managers with competent leadership styles. Things are getting a little sloppy again and the manager/staff relationships are at times, inappropriate."
117212,11891,151968,PREFER_NOT_TO_STATE,,,761,San Jose,2280,CA,1,0,,,,,,2008-11-16 20:37:51.427,1,,4.0,4.0,4.5,4.5,5.0,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,Transparent corporate culture and opportunities to learn about the new exciting development in the industry.,"Lean organization, very few backup for individual function.",Keep it up.
117252,11891,152001,PREFER_NOT_TO_STATE,,,761,San Jose,2280,CA,1,40730,Director,manager,1.0,branch manager,1.0,2008-11-16 21:40:13.243,1,,5.0,4.0,4.0,4.5,4.5,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"You will be surrounded by brilliant, competent, mature, hard working peers.  You will be challenged to exceed your past accomplishments.  It's a big company that strives to maintain a small company feel.  Office politics are 99% absent; you are expected to focus on your work and you can expect from your peers that you will not be distracted by gossip or personality clashes.  Netflix is a place that is very aware of its culture and everyone inside works hard to maintain it.  Everybody you know outside of work loves Netflix, and they will let you know when it comes up that you work there.",Specific tactics will often seem opaque to newbies.,Communicate more regarding tactics and organization.
117368,11891,152121,MALE,1948.0,MBA,761,San Jose,2280,CA,1,54501,Vice President,manager,1.0,branch manager,1.0,2008-11-17 06:50:02.3,1,,5.0,5.0,4.0,5.0,5.0,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"Innovation, intelligent people, incredible brand, incredible business model",Don't think about working for Netflix if a high risk/reward model is not for you,Continue doing what you are doing
117391,11891,152161,MALE,1962.0,BACHELORS,761,San Jose,2280,CA,1,0,,,,,,2008-11-17 08:03:14.567,1,,5.0,4.5,4.5,5.0,5.0,,YES,,Approve,Netflix,NFLX,COMPANY_PUBLIC,4700,8830669000,Internet,Information Technology,"Fast paced, dynamic, not afraid to try something different to make the company better. That means not everything is a win, but the company is honest about what hasn't worked out and doesn't hold on because of ego or prior investment.",Jarring environment for traditionalists or those who have grown accustomed to political systems.,Keep the pace alive and fluid
